id,Park,Campground,date,occupancy,avglengthStay,avgfee,avgdateDiff,totalNumberOfPeople,avgNumberOfPeople,aggPaid,avgPaid,numOfSites,recGovNumOfSites
7,Shenandoah,BIG MEADOWS,2007-08-21,0.285067873303167,3.55072463768116,15.2173913043478,45.4492753623188,229,3.31884057971015,3840,55.6521739130435,221,221
7,Shenandoah,BIG MEADOWS,2007-08-13,0.502262443438914,3.70731707317073,16.9512195121951,44.3008130081301,463,3.76422764227642,7525,61.1788617886179,221,221
7,Shenandoah,BIG MEADOWS,2007-08-14,0.443438914027149,4.07547169811321,16.1320754716981,48.6792452830189,387,3.65094339622642,6930,65.377358490566,221,221
7,Shenandoah,BIG MEADOWS,2007-09-21,0.714932126696833,2.78651685393258,16.3679775280899,31.5674157303371,676,3.79775280898876,8265,46.4325842696629,221,221
7,Shenandoah,BIG MEADOWS,2007-09-22,0.904977375565611,2.11637931034483,17.2090517241379,28.6551724137931,900,3.87931034482759,8935,38.5129310344828,221,221
7,Shenandoah,BIG MEADOWS,2007-09-23,0.904977375565611,2.14847161572052,17.0851528384279,29.2751091703057,891,3.89082969432314,8865,38.7117903930131,221,221
7,Shenandoah,BIG MEADOWS,2007-08-26,0.900452488687783,2.32520325203252,17.4070847851336,30.1829268292683,952,3.86991869918699,10005,40.6707317073171,221,221
7,Shenandoah,BIG MEADOWS,2007-08-28,0.244343891402715,3.30357142857143,14.9489795918367,34.3035714285714,182,3.25,2780,49.6428571428572,221,221
7,Shenandoah,BIG MEADOWS,2007-08-29,0.212669683257919,3.53061224489796,14.4314868804665,36.3877551020408,167,3.40816326530612,2510,51.2244897959184,221,221
7,Shenandoah,BIG MEADOWS,2007-08-30,0.253393665158371,3.34426229508197,15.0819672131148,38.3934426229508,209,3.42622950819672,3160,51.8032786885246,221,221
7,Shenandoah,BIG MEADOWS,2007-09-07,0.447963800904977,2.96261682242991,18.1775700934579,25.5981308411215,372,3.47663551401869,5420,50.6542056074766,221,221
7,Shenandoah,BIG MEADOWS,2007-09-08,0.579185520361991,2.27272727272727,18.951048951049,21.5384615384615,487,3.40559440559441,5655,39.5454545454546,221,221
7,Shenandoah,BIG MEADOWS,2007-09-09,0.579185520361991,2.19565217391304,19.0579710144928,21.9782608695652,470,3.40579710144928,5295,38.3695652173913,221,221
7,Shenandoah,BIG MEADOWS,2007-10-15,0.34841628959276,3.8375,16.1666666666667,54.45,228,2.85,4590,57.375,221,221
7,Shenandoah,BIG MEADOWS,2007-10-01,0.167420814479638,3.34210526315789,14.4736842105263,42.0526315789474,101,2.65789473684211,1720,45.2631578947368,221,221
7,Shenandoah,BIG MEADOWS,2007-10-22,0.34841628959276,3.49397590361446,14.6987951807229,57.3855421686747,246,2.96385542168675,3890,46.8674698795181,221,221
7,Shenandoah,BIG MEADOWS,2007-10-23,0.257918552036199,3.88333333333333,13.5,53.2333333333333,164,2.73333333333333,2850,47.5,221,221
7,Shenandoah,BIG MEADOWS,2007-10-27,0.904977375565611,1.84420289855072,13.9673913043478,40.481884057971,1055,3.82246376811594,8095,29.3297101449275,221,221
7,Shenandoah,BIG MEADOWS,2007-10-28,0.904977375565611,1.80334728033473,14.0794979079498,42.4393305439331,942,3.94142259414226,7105,29.7280334728034,221,221
7,Shenandoah,BIG MEADOWS,2007-05-15,0.149321266968326,3.76470588235294,15.6155462184874,27.9705882352941,96,2.82352941176471,1979,58.2058823529412,221,221
7,Shenandoah,BIG MEADOWS,2007-05-16,0.14027149321267,3.78787878787879,14.8766233766234,27.1818181818182,94,2.84848484848485,1879,56.9393939393939,221,221
7,Shenandoah,BIG MEADOWS,2007-05-17,0.208144796380091,3.63265306122449,15.3250728862974,26.6326530612245,145,2.95918367346939,2729,55.6938775510204,221,221
7,Shenandoah,BIG MEADOWS,2007-05-13,0.714932126696833,2.24022346368715,16.8056664006385,23.2569832402235,656,3.66480446927374,6729.5,37.5949720670391,221,221
7,Shenandoah,BIG MEADOWS,2007-05-14,0.217194570135747,3.89583333333333,15.8377976190476,29.4375,138,2.875,2823.5,58.8229166666667,221,221
7,Shenandoah,BIG MEADOWS,2007-05-24,0.226244343891403,3.86538461538462,15.7692307692308,55.8269230769231,146,2.80769230769231,3220,61.9230769230769,221,221
7,Shenandoah,BIG MEADOWS,2007-05-30,0.18552036199095,4.07142857142857,16.0357142857143,54.5476190476191,154,3.66666666666667,2513.5,59.8452380952381,221,221
7,Shenandoah,BIG MEADOWS,2007-05-31,0.248868778280543,3.73214285714286,16.1339285714286,47.5714285714286,204,3.64285714285714,3173.5,56.6696428571429,221,221
7,Shenandoah,BIG MEADOWS,2007-06-04,0.176470588235294,4.19512195121951,15.3414634146341,35.9268292682927,131,3.19512195121951,2507.5,61.1585365853659,221,221
7,Shenandoah,BIG MEADOWS,2007-06-05,0.14027149321267,4.51612903225807,16.1129032258065,36.2903225806452,95,3.06451612903226,2138,68.9677419354839,221,221
7,Shenandoah,BIG MEADOWS,2007-06-06,0.149321266968326,4.36363636363636,16.9545454545455,36.1515151515152,99,3,2168,65.6969696969697,221,221
7,Shenandoah,BIG MEADOWS,2007-06-07,0.180995475113122,4.35,16.4875,37,120,3,2598,64.95,221,221
7,Shenandoah,BIG MEADOWS,2007-05-22,0.14027149321267,3.48484848484849,16.0606060606061,18.4848484848485,76,2.3030303030303,1880,56.969696969697,221,221
7,Shenandoah,BIG MEADOWS,2007-05-23,0.122171945701357,3.85714285714286,16.4285714285714,24.7142857142857,66,2.35714285714286,1790,63.9285714285714,221,221
7,Shenandoah,BIG MEADOWS,2007-05-08,0.0497737556561086,3.90909090909091,11.7532467532468,43.5454545454545,29,2.63636363636364,504.5,45.8636363636364,221,221
7,Shenandoah,BIG MEADOWS,2007-05-09,0.0995475113122172,3.27272727272727,14.9675324675325,31.5909090909091,83,3.77272727272727,1084.5,49.2954545454546,221,221
7,Shenandoah,BIG MEADOWS,2007-05-10,0.180995475113122,3.33333333333333,14.4829931972789,29.952380952381,138,3.28571428571429,2011.5,47.8928571428572,221,221
7,Shenandoah,BIG MEADOWS,2007-06-25,0.51131221719457,4.0703125,17.2265625,46.1796875,498,3.890625,8835,69.0234375,221,221
7,Shenandoah,BIG MEADOWS,2007-07-30,0.479638009049774,3.77981651376147,16.697247706422,39.302752293578,395,3.62385321100917,6960,63.8532110091743,221,221
7,Shenandoah,BIG MEADOWS,2007-07-31,0.398190045248869,4.04347826086957,16.5760869565217,36.4891304347826,341,3.70652173913043,6255,67.9891304347826,221,221
7,Shenandoah,BIG MEADOWS,2007-08-01,0.407239819004525,3.88659793814433,16.8556701030928,36.9896907216495,370,3.81443298969072,6465,66.6494845360825,221,221
7,Shenandoah,BIG MEADOWS,2007-05-07,0.00904977375565611,7,4.89285714285714,78.5,5,2.5,95.5,47.75,221,221
7,Shenandoah,BIG MEADOWS,2007-09-04,0.239819004524887,3.53703703703704,16.1111111111111,43,201,3.72222222222222,3050,56.4814814814815,221,221
7,Shenandoah,BIG MEADOWS,2007-07-11,0.484162895927602,4.04310344827586,15.8620689655172,34.7844827586207,392,3.37931034482759,7560,65.1724137931035,221,221
7,Shenandoah,BIG MEADOWS,2007-07-12,0.520361990950226,4.00757575757576,16.4393939393939,37.9545454545455,450,3.40909090909091,8640,65.4545454545455,221,221
7,Shenandoah,BIG MEADOWS,2007-09-10,0.149321266968326,3.94117647058824,17.0588235294118,41.8235294117647,90,2.64705882352941,2010,59.1176470588235,221,221
7,Shenandoah,BIG MEADOWS,2007-09-11,0.0950226244343891,5.19047619047619,15.7619047619048,54.7142857142857,55,2.61904761904762,1450,69.0476190476191,221,221
7,Shenandoah,BIG MEADOWS,2007-09-12,0.0995475113122172,5.09090909090909,15.0454545454545,48,56,2.54545454545455,1460,66.3636363636364,221,221
